Epoch,Erro_MSE
0,157.14608124973944
1,130.05844663824664
2,96.1456232615057
3,69.98280170201178
4,55.330606996109545
5,45.58699784561486
6,38.34629235412552
7,32.89369223459862
8,28.788762684042236
9,25.590732124021
10,23.00073254787578
11,20.89947706842215
12,18.919377848385547
13,17.149262643378076
14,15.569547727891038
15,14.260139757428263
16,13.077270067595288
17,12.004204801798547
18,11.12478945267836
19,10.354366229715968
20,9.681786791554073
21,9.001066814429178
22,8.443413774591235
23,7.948976797533456
24,7.500366797981274
25,7.125827416245545
26,6.762161484980773
27,6.437072165813955
28,6.139968040463581
29,5.859572956480365
30,5.553807523368661
31,5.233341957132669
32,4.893422987952453
33,4.620746247274773
34,4.421218928254821
35,4.314532468961797
36,4.215367260164274
37,4.092358578066607
38,4.0401652018717344
39,3.8957635617206834
40,3.7548859791222857
41,3.615467383762258
42,3.5060078423522523
43,3.3980472761387217
44,3.3168383070970933
45,3.2531053877448652
46,3.201604686697093
47,3.1512709335639517
48,3.1032312701535827
49,3.056142500740277
50,3.0113061359181974
51,2.968101450407251
52,2.926549084645439
53,2.8875780781758085
54,2.8356376285267366
55,2.773721423583425
56,2.7213783687113855
57,2.6794651394574873
58,2.6340194190860937
59,2.597582057615002
60,2.5637361907515848
61,2.511003758466007
62,2.3819515459007765
63,2.26754409999313
64,2.191414571284254
65,2.126741835911737
66,2.0756158254691197
67,2.0338710821811197
68,1.9944114759388027
69,1.9520735085264744
70,1.920288404401908
71,1.8940408119344792
72,1.8726211428514057
73,1.8547330173423346
74,1.8389412498836544
75,1.8246910781283114
76,1.8116507073961479
77,1.7995885145591444
78,1.7883321433573114
79,1.7777500422007928
80,1.767740127122484
81,1.7582213401869655
82,1.7491266270535424
83,1.7403964211453389
84,1.7319716459671157
85,1.723784587456314
86,1.7157440542545521
87,1.7077058605735467
88,1.699403673088296
89,1.690264744357754
90,1.6788962116763744
91,1.6628586145966804
92,1.6484321571187452
93,1.6310403080939808
94,1.6115097614707163
95,1.579006942779329
96,1.5559881235860926
97,1.543891776758115
98,1.5282345216339852
99,1.5181128539607622
100,1.5101440805273052
101,1.5034100953105647
102,1.4974530296523558
103,1.4920298895701671
104,1.4870033381145709
105,1.4822898403188338
106,1.477834741101081
107,1.4735998920538576
108,1.4695572058033728
109,1.46568510818848
110,1.461966471614353
111,1.4583873434342152
112,1.454936122968867
113,1.4516030044373667
114,1.4483795850203174
115,1.4452585799812525
116,1.4422336099314503
117,1.4392990383887887
118,1.436449845439052
119,1.4336815279652415
120,1.4309900198435141
