Epoch,Erro_Treino,Erro_Validacao
0,0.151607694046532,0.14415898725819
1,0.13881035417977897,0.131491876649749
2,0.11789102600359441,0.1150527078193055
3,0.09163802724742577,0.09689530716049162
4,0.06980006761091564,0.08412704392245679
5,0.055440182284970885,0.07644366948797571
6,0.045597275836903546,0.07046861923117015
7,0.038345771066460636,0.0659339455358052
8,0.03278619294454518,0.06255810361827074
9,0.028388134385262224,0.060636814859914526
10,0.024845636487762834,0.059799038290489305
11,0.022047291617171776,0.05955366834947731
12,0.019777151247092506,0.05940332271823533
13,0.01785531942180569,0.058500026838056066
14,0.016192810876176814,0.056127620851253474
15,0.014729509556391112,0.053026884749111866
16,0.013436255602221977,0.05042863085281548
17,0.01231637100623198,0.04858567133641123
18,0.011328540026756302,0.04721185351867501
19,0.010454731470584754,0.04616439306482402
20,0.009727893002850683,0.0453389639997019
21,0.009108166972788894,0.04466160260614995
22,0.00857072318846053,0.044119040244557726
23,0.008104069042838866,0.04368747921485066
24,0.007690436950018716,0.04333050422537439
25,0.00731659527731393,0.043010425281535515
26,0.006968777324488361,0.04270080473204993
27,0.006636980183863706,0.0423577361869872
28,0.006332390586749702,0.04191406557334643
29,0.006067625908909333,0.04144298964485746
30,0.005834047485692358,0.04111641234739001
31,0.00559964848633069,0.041042003327210135
32,0.0053634215831004275,0.04116617878371045
33,0.005147227428742307,0.04114631728001525
34,0.004955799379582625,0.04106470240387193
35,0.004770043402934855,0.04094743974519582
36,0.004600632202824553,0.0407716210930786
37,0.004444652645269618,0.0405652449853995
38,0.004298617256519639,0.04029373512343729
39,0.004167116328478938,0.039948410167955896
40,0.004061912655184148,0.039818458245163925
41,0.003989031549811499,0.0399698723539172
42,0.003915861931407124,0.03993809250447855
43,0.0038139723084356083,0.039868507659865424
44,0.003649750478361335,0.03954970308220535
45,0.003494761765364248,0.03921015572205025
46,0.003382177324288266,0.03927640798345255
47,0.003306064098364472,0.039191822124570036
48,0.0032116091224279404,0.0388674307391643
49,0.003135129389493937,0.03876907302066491
50,0.0030691654383341125,0.03865532843585397
51,0.0030129959197851613,0.03853177099926065
52,0.0029531759739692236,0.03842265519643251
53,0.002887433748510031,0.03830495174439651
54,0.0028176249724520173,0.038195613347380995
55,0.0027516038832629077,0.03811897280883604
56,0.002696568175451159,0.03803777448970146
57,0.002637102216425847,0.03786886819121772
58,0.0025503321500410987,0.03766821276226582
59,0.0023948072732343866,0.03756317576986332
60,0.0022598378808815853,0.03753496605783791
61,0.002157924199805798,0.0375829223650767
62,0.0020979870337820895,0.037698278519601815
63,0.0020600246362542296,0.0377952220939835
64,0.0020236057257249735,0.03788017126989807
65,0.0019910074698461754,0.03795667852118676
66,0.001961735288807449,0.038023059937388734
67,0.0019354021906416745,0.038078911963218436
68,0.0019117111410930714,0.03812508964509431
69,0.0018902832568798232,0.03816331040120109
70,0.0018706793214991117,0.038195456018901924
71,0.001852523382897077,0.03822299409799645
72,0.0018355630585107615,0.03824684115741707
73,0.0018196457034311856,0.03826753336825397
74,0.0018046721933568433,0.03828543965092402
75,0.0017905656929490203,0.038300885310202856
76,0.0017772580341455855,0.03831418926998736
77,0.001764685737127419,0.038325660146076516
78,0.0017527895697164368,0.03833558355348623
79,0.0017415148631918856,0.03834421325499347
80,0.001730811700338177,0.038351767998956905
81,0.001720634839299038,0.038358432448552256
82,0.0017109434462765733,0.03836436031943018
83,0.0017017007304316052,0.038369678396214475
84,0.0016928735477096898,0.03837449065625653
85,0.0016844320122729676,0.03837888211080033
86,0.001676349134701431,0.03838292219900636
87,0.0016686004945429167,0.038386667692518577
88,0.0016611639485716806,0.038390165129893565
89,0.0016540193730794819,0.03839345282812966
90,0.001647148437234849,0.038396562528305984
